gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC001673,3313,2518,1746,1443
RPRC011063,1415,948,987,763
RPRC011058,2642,1721,2806,2026
RPRC011057,173,112,118,92
RPRC011054,167,167,156,104
RPRC011053,155,137,87,86
RPRC012521,0,0,0,0
RPRC000216,22,9,4,3
RPRC008866,36,10,12,4
RPRC011070,12,8,2,3
RPRC011030,1005,747,417,298
RPRC011029,3671,2490,1430,890
RPRC011026,507,306,378,255
RPRC011066,5,0,1,0
RPRC011039,1782,1306,419,316
RPRC011042,1130,747,913,583
RPRC011024,5519,3277,2886,2166
RPRC011023,29,10,58,31
RPRC011020,4986,3799,1274,956
RPRC001137,2000,1542,1142,756
RPRC011019,1818,1151,547,447
RPRC011050,656,415,566,366
RPRC017610,0,0,0,0
RPRC017611,0,0,0,0
RPRC002291,0,0,0,0
RPRC005239,0,0,0,0
RPRC005237,0,1,0,0
RPRC001285,0,0,0,0
RPRC000973,41,25,2,4
RPRC014552,1,0,0,0
RPRC014486,0,0,0,0
RPRC014488,3049,2049,1213,1011
RPRC014550,68,44,10,7
RPRC014538,243,212,17,25
RPRC014536,19,22,1,7
RPRC014485,121,85,92,94
RPRC014523,1285,583,966,539
RPRC014520,1273,1466,569,517
RPRC000974,5027,5029,1713,1741
RPRC014518,0,1,7,0
RPRC000975,2695,1430,2180,1432
RPRC014517,108,87,31,19
RPRC014516,1,1,6,10
RPRC004842,0,0,0,0
RPRC011101,22,28,2,2
RPRC011100,1982,1102,646,368
RPRC014813,770,551,371,296
RPRC014816,1614,1152,523,412
RPRC014865,12,7,5,5
RPRC014863,2,3,2,2
RPRC014817,1972,1337,942,1764
RPRC014862,500,335,152,51
RPRC014861,1,1,0,0
RPRC014850,499,364,266,167
RPRC000906,1072,656,379,223
RPRC014812,4054,3564,2662,2040
RPRC014811,1006,696,588,480
RPRC014848,12,10,5,3
RPRC014846,361,237,141,116
RPRC014841,114,61,45,36
RPRC014843,392,289,158,151
RPRC007706,1753,951,797,649
RPRC007705,996,624,693,509
RPRC011642,106,95,160,87
RPRC011641,551,370,243,174
RPRC012552,5,0,4,1
RPRC000092,16,3,9,3
RPRC009824,32,5,19,4
RPRC009821,1,0,0,0
RPRC009820,68,32,85,26
RPRC009776,1,1,0,0
RPRC009819,2,0,0,0
RPRC009815,25,21,0,19
RPRC009812,452,325,164,124
RPRC001552,1502,999,898,633
RPRC009810,5,5,5,3
RPRC009809,3698,2369,1914,1182
RPRC009802,946,571,736,512
RPRC009779,1396,1034,405,329
RPRC001553,1276,1067,457,361
RPRC009778,1654,1161,1011,740
RPRC009774,16390,11385,6842,5273
RPRC001554,46,35,38,34
RPRC001555,639,417,454,299
RPRC009593,1,81,0,1
RPRC009594,35,318,14,9
RPRC001556,61,17,16,0
RPRC001557,2,11,4,7
RPRC009606,1,0,0,0
RPRC011159,556,391,841,612
RPRC013563,0,0,0,0
RPRC008808,454,358,164,150
RPRC000729,772,688,90,104
RPRC008809,25876,17212,10052,7296
RPRC009987,1662,1011,1385,914
RPRC000015,2216,1451,1798,1411
RPRC001303,409,272,183,166
RPRC001304,2838,2079,289,343
RPRC009883,699,421,223,194
RPRC009960,1100,826,339,250
RPRC009885,959,655,298,201
RPRC009959,1515,868,991,668
RPRC001305,1382,994,1079,828
RPRC009950,8268,5126,3267,2455
RPRC009878,3358,1627,1021,726
RPRC009946,256,183,249,171
RPRC009875,86902,57861,12034,11719
RPRC009873,1547,955,423,333
RPRC001306,486,341,34,46
RPRC009889,898,614,611,403
RPRC009937,424,303,345,202
RPRC001307,474,313,184,147
RPRC009912,763,555,396,270
RPRC009870,114,71,16,17
RPRC009866,1329,813,298,238
RPRC009891,1905,1427,580,418
RPRC009911,1896,1478,652,525
RPRC009893,1,2,0,1
RPRC009909,0,0,0,0
RPRC010978,1,0,0,1
RPRC010980,214,187,468,319
RPRC017328,0,1,0,0
RPRC000881,64,38,61,36
RPRC010420,313,180,91,63
RPRC008488,0,0,0,0
RPRC002173,12,16,2,0
RPRC004122,0,0,0,0
RPRC008425,184,128,42,38
RPRC008424,1277,1059,556,394
RPRC000461,402,252,221,206
RPRC004411,0,0,0,0
RPRC009213,0,1,0,0
RPRC000894,0,0,0,0
RPRC011306,71,47,3,1
RPRC000141,3,2,0,0
RPRC011114,1938,1233,1046,777
RPRC011175,1,2,0,0
RPRC000963,0,0,0,0
RPRC011173,0,0,0,0
RPRC014998,0,0,0,0
RPRC017149,11,6,1,1
RPRC005615,144,88,71,34
RPRC001103,1082,739,649,352
RPRC001104,237,165,186,81
RPRC005508,1484,1082,909,606
RPRC005509,2701,1884,743,584
RPRC005514,3005,2203,1259,778
RPRC000333,1906,1110,1700,1128
RPRC005532,442,330,216,216
RPRC005507,1288,952,966,803
RPRC005614,332,158,356,273
RPRC005602,4845,2766,4001,2389
RPRC005579,1157,819,593,390
RPRC005506,463,330,147,109
RPRC005578,506,399,246,199
RPRC005534,2036,1560,869,664
RPRC005548,1550,1194,315,242
RPRC005491,382,283,316,200
RPRC005490,872,765,233,255
RPRC002282,375,245,322,217
RPRC005353,1,2,0,0
RPRC014655,1622,124,15,1
RPRC008211,4030,2851,1243,935
RPRC008212,539,468,228,175
RPRC000101,7664,5609,1462,1073
RPRC008237,1151,757,675,401
RPRC008243,61,55,41,33
RPRC008236,585,392,237,184
RPRC000924,50,41,13,11
RPRC000925,1175,874,922,620
RPRC008209,772,368,264,132
RPRC005771,71,65,62,40
RPRC011180,0,0,0,0
RPRC011179,362,239,185,123
RPRC010493,237,168,125,82
RPRC010496,153,99,65,27
RPRC000275,1,0,0,0
RPRC012954,0,1,0,0
RPRC012953,0,0,0,0
RPRC004417,0,0,0,0
RPRC009216,4,5,3,2
RPRC000661,6,16,0,0
RPRC017447,1,1,0,0
RPRC000723,2,9,0,0
RPRC002286,15,31,0,0
