gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC001424,46,30,5,5
RPRC001425,281,176,52,40
RPRC012089,0,0,0,0
RPRC001426,129,83,6,6
RPRC012044,1596,1033,693,414
RPRC011963,2672,1681,1050,818
RPRC011962,1721,1467,675,596
RPRC011961,2003,1428,1279,994
RPRC011960,2564,1811,936,695
RPRC011958,1673,1040,602,398
RPRC012081,1838,1320,777,564
RPRC012083,14,10,3,2
RPRC012084,21,20,8,3
RPRC012085,21,11,6,3
RPRC012086,2292,1500,740,537
RPRC001427,3270,1922,954,707
RPRC011956,2898,1943,2197,1399
RPRC011955,1013,674,322,208
RPRC011952,4905,3432,2087,1399
RPRC012088,4906,3299,1972,1406
RPRC012087,599,446,62,45
RPRC011951,2438,1841,986,743
RPRC009757,908,709,329,243
RPRC009712,117,110,22,46
RPRC016514,1,0,0,0
RPRC009743,21,17,7,9
RPRC009714,1500,955,1365,915
RPRC009763,66,39,17,37
RPRC009767,54,33,17,26
RPRC008531,34,51,8,26
RPRC006106,1,0,0,2
RPRC006096,16,4,34,55
RPRC006093,110,45,295,307
RPRC006105,155,80,621,682
RPRC006104,20,37,21,5
RPRC006098,393,600,273,52
RPRC006097,226,201,115,32
RPRC001013,380,233,348,199
RPRC001014,217,127,249,97
RPRC012901,0,0,0,0
RPRC003927,0,0,0,0
RPRC006164,0,0,0,0
RPRC013396,0,0,0,0
RPRC014729,0,0,0,0
RPRC003011,0,0,0,0
RPRC013929,0,0,0,0
RPRC012872,0,0,0,0
RPRC013944,18,6,1,0
RPRC000837,10,4,4,1
RPRC004391,3426,2245,898,573
RPRC004393,0,0,0,0
RPRC005223,0,1,0,0
RPRC005118,7,8,1,1
RPRC005222,769,528,170,211
RPRC005220,363,119,117,81
RPRC005117,841,562,337,233
RPRC005120,4141,3128,1020,654
RPRC005215,0,1,0,0
RPRC005214,739,504,292,225
RPRC001926,1696,1193,1225,895
RPRC005213,659,497,446,356
RPRC005102,2318,1644,1127,794
RPRC005212,1336,819,499,346
RPRC005172,1285,880,455,377
RPRC005174,18648,12753,8163,5576
RPRC003374,1267,843,758,519
RPRC003389,0,0,0,0
RPRC003388,21,7,9,8
RPRC001927,94,51,29,31
RPRC003387,1102,693,240,189
RPRC003375,1737,1105,909,780
RPRC003373,4049,2858,2217,1632
RPRC003372,566,391,456,240
RPRC003371,145,117,48,33
RPRC003376,3604,2433,1302,877
RPRC003384,1256,826,418,277
RPRC000574,110,52,101,78
RPRC003386,2166,1418,1069,629
RPRC003385,5,0,2,0
RPRC017411,0,0,0,0
RPRC012071,1,0,1,0
RPRC000854,0,0,0,0
RPRC012631,0,0,0,0
RPRC001058,141,100,121,124
RPRC017161,2915,2067,1072,752
RPRC010046,67,49,15,16
RPRC010929,0,0,0,0
RPRC016848,0,0,0,0
RPRC016241,0,0,0,0
RPRC003145,0,0,0,0
RPRC003144,394,391,30,36
RPRC003141,215,220,29,25
RPRC011290,3180,2112,810,629
RPRC003404,223,149,464,251
RPRC014066,861,567,362,272
RPRC014064,2939,1971,1065,740
RPRC014076,486,343,377,259
RPRC014052,446,300,241,189
RPRC002249,76,48,10,2
RPRC007351,0,0,0,0
RPRC010571,0,0,1,0
RPRC007788,6,3,6,3
RPRC001790,235,178,172,134
RPRC007787,75,57,65,41
RPRC007786,3590,2481,1197,837
RPRC007686,6642,4700,2209,1636
RPRC007684,35722,24325,5681,4690
RPRC007683,4392,3302,2019,1440
RPRC002121,524,240,34,30
RPRC007778,132,55,200,315
RPRC000195,270,132,3,3
RPRC007771,17,18,2,0
RPRC000608,38,24,16,12
RPRC007723,472,170,230,123
RPRC007769,0,0,0,0
RPRC007766,70,50,80,43
RPRC007740,1100,979,1450,1290
RPRC007682,817,602,661,476
RPRC000048,247,193,52,40
RPRC004683,67,38,26,5
RPRC004734,2,0,3,6
RPRC004761,401,297,73,60
RPRC004753,66,31,23,17
RPRC004735,237,133,111,70
RPRC004751,0,0,0,0
RPRC004749,34,27,4,10
RPRC004748,25,15,9,4
RPRC011563,111,60,5,4
RPRC011446,248,159,36,39
RPRC001791,65,59,89,88
RPRC011459,572,358,192,118
RPRC001792,7,4,3,1
RPRC001793,2301,1525,324,285
RPRC011445,1254,935,506,338
RPRC011442,31717,22822,4703,3577
RPRC001794,955,681,702,508
RPRC011560,65105,3763,652,183
RPRC001795,15,5,2,0
RPRC011462,109,64,17,10
RPRC001796,246,167,197,99
RPRC008759,0,0,0,0
RPRC000429,2,0,0,0
RPRC008677,1009,742,1045,724
RPRC008758,142,113,102,67
RPRC008685,495,393,270,165
RPRC008757,568,468,305,179
RPRC008686,17,13,8,5
RPRC008682,20,13,10,5
RPRC008687,1530,925,695,338
RPRC008688,341,191,307,234
RPRC008689,626,296,155,91
RPRC008672,373,235,106,82
RPRC001364,2,2,0,1
RPRC008756,0,0,1,0
RPRC008750,235,177,85,16
RPRC008698,1140,878,7864,5214
RPRC008734,86,61,23,13
RPRC008748,49,38,7,5
RPRC001365,30,44,8,20
RPRC013085,0,0,0,0
RPRC013086,0,0,0,0
RPRC013309,61,25,0,0
RPRC001366,10,10,4,7
RPRC013080,1921,1128,643,500
RPRC013087,706,477,152,99
RPRC013282,3684,2712,1140,949
RPRC013079,157,153,7,19
RPRC013077,21307,13010,2177,2234
RPRC001367,3511,3412,970,763
RPRC013076,1379,807,502,260
RPRC013089,5029,3001,1120,886
RPRC001369,141,80,127,83
RPRC013279,2491,1690,1786,1103
RPRC013276,779,517,482,241
RPRC013274,33,12,6,6
RPRC003492,0,0,0,0
RPRC013725,0,0,0,0
RPRC004901,1,1,1,0
RPRC004902,6,4,6,1
RPRC014455,0,0,0,0
RPRC017430,0,0,0,0
RPRC005418,3,1,0,0
RPRC012606,597,351,427,291
RPRC002172,0,0,0,0
RPRC004888,840,599,476,338
RPRC004897,53,32,5,4
RPRC001486,889,629,160,132
RPRC004913,3,4,0,0
RPRC004912,0,0,0,0
RPRC015738,0,0,0,0
RPRC004911,15,0,20,68
RPRC004910,0,0,0,2
RPRC004909,8,0,3,15
RPRC004908,24,8,2,7
RPRC004905,184,82,85,55
RPRC004907,30,13,8,3
RPRC003336,12379,9521,3486,2606
RPRC003335,2113,1635,805,553
RPRC000782,820,529,372,257
RPRC003333,730,524,445,264
RPRC006985,12,5,1,0
RPRC010011,0,0,0,0
RPRC011667,6,4,5,2
RPRC005904,277,233,67,42
RPRC005782,1623,1158,753,538
RPRC000992,939,725,728,486
RPRC005781,2484,2397,1023,778
RPRC005779,1954,1508,904,543
RPRC005903,615,509,352,192
RPRC005783,1090,837,168,117
RPRC005784,588,449,128,97
RPRC016673,0,0,0,0
RPRC005902,3,1,0,1
RPRC000993,3180,2477,1294,1004
RPRC005778,10349,8964,4748,3572
RPRC005785,1809,1328,985,673
RPRC005793,77,34,11,7
RPRC005794,501,371,364,240
RPRC005795,4056,3078,1589,1170
RPRC005900,1411,1128,745,524
RPRC000994,427,220,258,195
RPRC005796,1631,1216,279,244
RPRC005812,2904,2275,1739,1335
RPRC005860,1256,840,1029,641
RPRC005777,2267,1548,412,327
RPRC005885,2328,1516,905,688
RPRC005890,1955,1507,717,521
RPRC005898,917,650,274,200
RPRC005896,797,649,318,202
RPRC005895,4149,2520,906,696
RPRC005894,345,255,220,151
RPRC014669,772,482,379,252
RPRC014654,5296,3703,1154,972
RPRC014666,570,336,528,315
RPRC014657,2090,1354,624,586
RPRC014659,1614,1157,439,281
RPRC001148,601,390,150,79
RPRC014665,498,321,283,197
RPRC014662,1171,828,677,465
RPRC013978,0,0,0,0
RPRC004406,0,0,0,0
RPRC001182,29,24,3,3
RPRC004405,207,172,7,4
RPRC004403,0,0,0,2
RPRC004400,9832,6947,2876,1807
RPRC004395,7464,5231,1417,1270
RPRC012555,3573,2391,1432,1049
RPRC012597,1279,754,550,335
RPRC000664,175,14,2,1
RPRC000665,106,182,291,360
RPRC012588,594,644,167,233
RPRC012556,4596,3714,2239,1401
RPRC000618,160,294,12,26
RPRC000666,0,0,0,0
RPRC000532,1399,969,589,452
RPRC015394,470,284,264,204
RPRC000567,24,27,2,2
RPRC000357,507,441,192,147
RPRC015395,244,147,21,9
RPRC015417,2997,2178,2284,1535
RPRC015396,2423,1682,1754,1344
RPRC015393,2246,1514,1008,778
RPRC015397,180,148,63,64
RPRC001704,985,657,373,221
RPRC015398,9239,5728,3269,2579
RPRC015392,2665,1768,1089,910
RPRC015416,23,26,7,2
RPRC015391,2964,1863,1111,796
RPRC002117,5543,4069,3193,2101
RPRC015390,2441,1648,792,634
RPRC015399,2677,1776,2176,1329
RPRC001705,800,551,813,445
RPRC015400,627,539,302,266
RPRC015389,4926,3856,3088,1869
RPRC015388,222,105,17,29
RPRC015401,3674,2872,904,715
RPRC015402,5467,3860,2466,1884
RPRC015403,4347,3209,1507,1220
RPRC015415,447,354,98,177
RPRC001706,705,618,125,108
RPRC015414,125,98,31,32
RPRC015413,42,32,7,7
RPRC015412,1500,1012,749,482
RPRC001707,584,448,183,141
RPRC015411,564,441,150,116
RPRC015404,467,392,10,17
RPRC015387,7,7,2,0
RPRC015386,1587,1165,604,508
RPRC015410,1947,1326,762,500
RPRC015385,7703,5994,1749,1360
RPRC015405,2860,2093,1228,784
RPRC015409,2097,1458,833,520
RPRC015384,2105,1597,670,464
RPRC015408,5,0,2,2
RPRC015383,87,49,32,22
RPRC003004,255,189,120,67
RPRC003024,606,449,98,77
RPRC000319,4,7,0,1
RPRC003005,520,390,124,58
RPRC003021,17,3,0,0
RPRC003001,38,23,5,3
RPRC003010,3201,2342,1246,811
RPRC003019,254,171,81,41
RPRC017151,36,33,14,16
RPRC003018,158,141,45,45
RPRC003017,3225,2199,903,754
RPRC003014,1247,855,214,164
RPRC003016,0,2,4,0
RPRC015170,37,26,8,6
RPRC015169,21,28,4,1
RPRC015154,1,3,0,0
RPRC015168,8,14,0,0
RPRC015167,1,0,1,0
RPRC015166,1119,791,689,534
RPRC015165,0,0,0,0
RPRC015164,0,0,0,0
RPRC015153,3,11,0,3
RPRC015155,0,7,0,2
RPRC015163,570,485,406,313
RPRC015156,2665,1751,1426,890
RPRC015162,2,6,1,1
RPRC001708,327,244,256,179
RPRC001709,281,193,280,208
RPRC015157,1556,1523,560,474
RPRC001710,1193,838,659,497
RPRC001711,719,512,366,169
RPRC015158,33,14,1,0
RPRC015159,4767,3987,2250,1602
RPRC015161,0,3,0,0
RPRC015160,2,2,0,0
RPRC015618,2,0,1,0
RPRC009080,0,0,0,0
RPRC016331,0,0,0,0
RPRC009078,0,0,0,0
RPRC009077,0,0,0,0
RPRC002996,30,12,11,2
RPRC004925,0,0,0,0
RPRC011748,0,0,0,0
RPRC004052,0,0,0,0
RPRC003904,0,0,0,0
RPRC006969,0,0,0,0
RPRC013594,0,0,0,0
RPRC003148,23,11,3,2
RPRC003149,8,6,0,4
RPRC006160,1676,1190,379,332
RPRC006155,890,596,168,117
RPRC006156,1216,714,191,164
RPRC000369,0,0,0,0
RPRC015374,335,201,425,277
RPRC000891,23,18,3,5
RPRC005221,112,76,56,27
RPRC005219,42,36,35,19
RPRC014385,0,0,0,0
RPRC012907,0,4,0,1
RPRC012910,0,0,0,0
RPRC012912,0,2,0,0
RPRC012918,63,34,13,12
RPRC001543,817,488,238,159
RPRC012920,75,51,5,1
RPRC012854,2785,1747,714,588
RPRC012852,1224,632,776,526
RPRC012935,12,1,0,0
RPRC000444,4760,3229,1810,1305
RPRC001633,1323,805,345,275
RPRC014186,1848,1280,644,481
RPRC001634,1670,1144,553,365
RPRC014315,421,327,150,120
RPRC001635,488,308,413,358
RPRC014187,2616,1570,1475,1050
RPRC014185,5259,3018,743,634
RPRC000292,487,383,135,88
RPRC014314,1050,663,377,231
RPRC014252,461,275,286,179
RPRC014249,11,11,12,4
RPRC014247,4,1,1,0
RPRC014246,246,182,177,103
RPRC014243,3156,2841,1591,1289
RPRC014241,77,57,73,57
RPRC014240,28,30,7,39
RPRC014184,6,4,1,7
RPRC014239,13,9,9,8
RPRC014181,1360,1205,439,2435
RPRC014238,3053,1971,2030,1671
RPRC014236,1398,953,742,493
RPRC014202,6000,4439,3995,3001
RPRC014235,447,323,89,54
RPRC014180,2140,1231,896,852
RPRC014223,3971,3442,1400,1001
RPRC014234,9,16,2,2
RPRC001636,1333,738,387,349
RPRC014233,168,124,162,95
RPRC014230,691,498,309,247
RPRC014225,1280,905,448,289
RPRC014226,11804,8788,5751,3564
RPRC005499,1861,1477,1047,754
RPRC005141,1180,956,207,173
RPRC005485,1699,1197,1322,912
RPRC005147,379,309,56,72
RPRC005484,1173,933,447,277
RPRC005448,102,97,58,36
RPRC005447,27,55,14,4
RPRC005442,13,5,2,4
RPRC005226,3343,2238,898,792
RPRC005435,42,49,14,13
RPRC005259,9997,7451,5212,3342
RPRC005138,2642,1779,887,657
RPRC005428,71,51,5,7
RPRC005137,554,219,636,368
RPRC001637,1211,990,567,479
RPRC005427,393,362,220,157
RPRC005426,116,124,80,70
RPRC005135,299,280,220,163
RPRC005133,0,0,0,0
RPRC005263,2,0,0,0
RPRC005425,1,0,1,0
RPRC005265,0,1,0,0
RPRC005412,1332,970,639,425
RPRC001638,1560,1127,1218,884
RPRC005296,785,604,204,169
RPRC005294,1313,1007,407,249
RPRC005266,5887,4453,3843,2500
RPRC005281,6407,5706,1535,1172
RPRC005292,450,349,64,68
RPRC006606,0,3,0,1
RPRC002082,0,0,0,0
RPRC006603,0,0,0,0
RPRC006601,0,0,0,0
RPRC006599,0,0,0,0
RPRC006598,0,0,0,0
RPRC006594,1,2,0,0
RPRC006581,458,285,349,227
RPRC006578,1,1,0,0
RPRC009860,0,0,0,0
RPRC017162,0,0,0,0
RPRC009857,39,10,2,7
RPRC017517,0,0,0,0
RPRC004009,1362,941,639,411
RPRC004022,1566,1100,969,680
RPRC006871,0,0,0,0
RPRC002603,0,0,0,0
RPRC008924,0,0,0,0
RPRC014600,17,18,0,3
RPRC000543,1,0,0,0
RPRC000190,1,5,3,0
RPRC010310,762,513,202,172
RPRC010303,277,201,136,98
RPRC010194,2684,1864,1360,879
RPRC010193,891,536,304,214
RPRC000615,3320,2159,907,606
RPRC010203,16,9,1,3
RPRC010302,3,4,2,2
RPRC010266,1726,1108,463,299
RPRC010207,1910,1385,774,566
RPRC010264,1404,1000,494,349
RPRC010192,25864,16262,3526,3188
RPRC010191,896,984,341,251
RPRC001630,226,165,41,28
RPRC001631,740,513,172,139
RPRC010135,1327,857,763,545
RPRC013398,379,253,140,118
RPRC013352,504,327,527,368
RPRC013348,8,11,0,10
RPRC013168,1079,716,583,442
RPRC013319,807,549,716,551
RPRC013317,381,270,228,146
RPRC013171,40,44,12,13
RPRC013165,6433,4333,1951,1368
RPRC013160,1986,1449,433,389
RPRC013107,42,26,48,85
RPRC013313,73,34,15,7
RPRC000561,30,22,12,11
RPRC013175,2066,1515,836,539
RPRC013195,10282,7302,4580,3181
RPRC013207,968,835,637,585
RPRC017426,0,0,0,0
RPRC009424,3688,2535,1493,1018
RPRC009458,487,147,65,36
RPRC009456,0,0,0,0
RPRC009451,956,678,601,435
RPRC009414,617,387,46,76
RPRC009425,177,163,63,52
RPRC009449,386,326,192,124
RPRC009446,986,593,505,306
RPRC009445,101,72,126,81
RPRC009427,573,433,548,407
RPRC009440,18,13,2,1
RPRC009428,1509,1155,486,332
RPRC009412,904,697,831,597
RPRC009429,2230,1550,1305,1006
RPRC009430,417,332,194,142
RPRC009411,330,299,122,93
RPRC009431,855,759,214,157
RPRC009432,2463,1489,2204,1426
RPRC001632,1260,958,359,302
RPRC008116,720,670,232,124
RPRC008065,814,636,410,301
RPRC001457,1574,1116,1733,1171
RPRC001458,1655,1019,1056,716
RPRC008115,1261,1046,801,562
RPRC008114,644,450,299,197
RPRC008066,1302,928,386,250
RPRC008063,1793,1422,470,460
RPRC008113,1088,927,514,722
RPRC008067,217,14,5,1
RPRC008062,149,1,7,0
RPRC008060,1293,634,354,210
RPRC001459,8056,6115,2575,1780
RPRC008112,12,4,0,0
RPRC008111,72,47,43,29
RPRC008068,1112,744,676,441
RPRC008110,6775,4683,2943,2142
RPRC001460,284,203,81,53
RPRC008057,2377,1429,1529,1042
RPRC008069,1160,944,565,348
RPRC008109,5168,3438,1757,1454
RPRC008054,1550,1202,785,594
RPRC008053,815,439,1044,643
RPRC008073,5126,4565,121,95
RPRC008072,7,4,4,7
RPRC008052,0,1,0,0
RPRC008051,1,1,0,0
RPRC008050,1,0,0,0
RPRC008070,4,1,0,0
RPRC008071,0,0,0,0
RPRC001142,0,1,5,0
RPRC008589,0,0,0,0
RPRC008590,0,0,0,0
RPRC001141,1,0,0,1
RPRC001140,866,666,886,512
RPRC001139,0,0,0,0
RPRC008151,0,0,0,0
RPRC002425,0,0,0,0
RPRC002424,0,0,0,0
RPRC017605,0,0,0,0
RPRC002398,5,2,1,0
RPRC002397,20,15,12,3
RPRC002396,4403,3102,1800,1257
RPRC002385,1361,874,406,345
RPRC002386,2856,1718,2188,1829
RPRC002395,86,56,145,86
RPRC003935,16483,11088,5105,4010
RPRC003933,4287,3487,1835,1292
RPRC003922,4833,3117,2485,1749
RPRC003865,1443,706,849,703
RPRC003920,68,74,11,7
RPRC003870,1503,985,984,646
RPRC003918,854,522,315,252
RPRC003939,2509,1471,1888,1216
RPRC003940,62,40,5,4
RPRC003917,8,1,0,1
RPRC003875,2056,1396,744,528
RPRC003876,215,133,72,58
RPRC003878,36,20,8,1
RPRC001971,595,445,186,146
RPRC003881,177,75,72,49
RPRC003886,288,98,120,395
RPRC003942,2,0,3,7
RPRC003882,0,0,0,0
RPRC003885,2,1,0,5
RPRC003944,1,1,0,1
RPRC008181,1535,665,3206,55
RPRC009418,22,16,6,6
RPRC013298,0,0,0,0
RPRC000989,296,185,127,97
RPRC013295,524,330,178,115
RPRC013296,1343,970,531,440
RPRC015899,0,0,0,0
RPRC013937,0,2,0,0
RPRC003050,0,0,0,0
RPRC008448,6123,4422,1528,1232
RPRC008450,5,0,1,0
RPRC008487,22,17,9,2
RPRC008485,3,1,2,4
RPRC001102,509,326,249,249
RPRC000497,1223,709,929,641
RPRC000110,193,188,107,85
RPRC008452,7397,4457,12254,5984
RPRC012404,1020,786,312,262
RPRC012400,2318,1443,677,543
RPRC009064,0,0,0,0
RPRC015979,0,0,0,0
RPRC004465,0,0,0,1
RPRC016267,0,0,0,0
RPRC002068,0,0,0,0
RPRC002558,11,8,2,5
RPRC003101,0,0,1,1
RPRC000484,0,0,0,0
RPRC012359,0,2,0,0
RPRC012357,1710,1177,1011,707
RPRC012356,2131,1539,959,610
RPRC001407,2595,1649,1374,953
RPRC012355,2790,2076,933,733
RPRC012360,2887,1976,1464,1054
RPRC012354,8851,5439,1140,1122
RPRC012353,3467,2185,420,448
RPRC012401,1,0,0,0
RPRC012399,10,6,0,1
RPRC012398,72,55,20,20
RPRC001408,16,20,24,23
RPRC012378,236,89,104,38
RPRC012167,520,642,164,794
RPRC001409,2253,1678,1427,963
RPRC012361,1459,973,634,458
RPRC012377,913,658,522,295
RPRC012376,10,1,3,9
RPRC001410,1101,699,905,629
RPRC012166,2911,1908,503,393
RPRC012375,2198,1596,1072,635
RPRC012164,1439,859,391,190
RPRC012161,1354,889,741,484
RPRC012373,5013,2519,1091,864
RPRC017522,0,0,0,0
RPRC013140,261,159,369,252
RPRC013138,93,79,45,33
RPRC013070,23160,16654,3828,2718
RPRC013136,588,374,434,278
RPRC013072,2490,2050,399,482
RPRC013069,1076,696,507,430
RPRC013065,0,0,0,0
RPRC000203,15,8,8,2
RPRC013075,14,15,6,0
RPRC013074,125,68,119,62
RPRC017521,0,1,0,0
RPRC013073,0,0,0,0
RPRC011781,0,1,1,2
RPRC000143,0,0,0,0
RPRC017495,3,3,1,0
RPRC011743,4064,3024,980,739
RPRC011742,27536,18973,8075,6236
RPRC011744,1086,874,1044,789
RPRC011740,2949,882,994,696
RPRC011738,138,87,41,56
RPRC011737,2259,1549,632,398
RPRC011780,0,1,0,0
RPRC011779,313,224,15,25
RPRC011772,380,284,166,101
RPRC011775,535,398,7,7
RPRC004426,354,933,128,102
RPRC004424,31,14,17,9
RPRC004499,3150,2666,834,580
RPRC004431,1886,1403,1607,951
RPRC004495,325,213,132,84
RPRC004493,1,1,0,0
RPRC004484,196,29,75,403
RPRC004478,302,228,174,110
RPRC001571,1483,1144,306,217
RPRC004445,624,496,178,102
RPRC001572,340,269,344,206
RPRC004447,623,403,517,264
RPRC002113,296,245,49,28
RPRC000363,257,118,133,72
RPRC000441,52,24,3,2
RPRC000202,730,644,254,205
RPRC000111,387,218,181,147
RPRC004643,347,183,202,132
RPRC004645,640,460,242,190
RPRC004678,1547,724,332,240
RPRC004676,324,227,78,47
RPRC004650,559,487,112,81
RPRC004672,680,464,329,237
RPRC004660,262,181,102,95
RPRC000838,378,280,123,104
RPRC004642,1043,751,320,270
RPRC004670,597,456,178,233
RPRC004668,2281,1603,1132,839
RPRC004641,1732,1065,1202,983
RPRC004661,823,486,311,227
RPRC004662,193,86,38,31
RPRC004663,5,1,0,0
RPRC004664,62,27,0,1
RPRC004665,27,33,3,1
RPRC004666,274,171,69,54
RPRC004640,47,45,12,13
RPRC000412,0,0,0,0
RPRC004667,12,6,0,0
RPRC017343,301,218,142,121
RPRC017344,62,53,39,32
RPRC017358,2482,1713,954,678
RPRC001471,0,0,0,0
RPRC001472,202,130,243,165
RPRC006765,188,153,171,103
RPRC006734,2088,1355,857,652
RPRC006645,3212,2260,1637,1035
RPRC001473,18,22,16,6
RPRC011663,417,223,410,331
RPRC011589,0,0,0,0
RPRC005515,0,0,0,0
RPRC000642,0,0,0,0
RPRC016471,0,0,0,0
RPRC005516,0,0,0,0
RPRC004172,0,0,0,0
RPRC010566,0,0,0,0
RPRC004850,1925,1401,665,483
RPRC004851,0,0,0,0
RPRC004852,0,0,1,0
RPRC004853,428,297,139,108
RPRC004849,753,518,359,281
RPRC004866,974,621,438,291
RPRC004867,1,0,1,1
RPRC004847,2691,1853,1114,763
RPRC004846,10802,6865,4105,3141
RPRC004887,1,3,0,0
RPRC004870,3626,2453,2154,1390
RPRC002200,3,5,0,0
RPRC012846,25,15,21,20
RPRC010994,0,0,0,0
RPRC000748,0,0,0,0
RPRC017141,1,0,0,0
RPRC001913,107,105,88,61
RPRC008216,2,7,3,1
RPRC008217,1,0,0,0
RPRC008235,0,0,0,1
RPRC008215,2023,1353,736,555
RPRC008234,631,423,276,160
RPRC001914,1026,690,394,289
RPRC008219,1084,784,482,485
RPRC008233,428,234,486,352
RPRC008232,1,0,1,0
RPRC001915,271,147,287,154
RPRC008229,171,190,34,23
RPRC004173,0,0,0,0
RPRC003278,0,0,0,0
RPRC008886,767,643,329,155
RPRC000937,10,5,6,1
RPRC000938,1,4,0,0
RPRC010416,0,0,0,0
RPRC006261,85,60,41,36
RPRC008719,1,0,0,0
RPRC008715,3,3,0,0
RPRC008718,3,0,0,0
RPRC008717,7,4,0,0
RPRC008714,15,6,1,1
RPRC008716,0,0,0,0
RPRC008610,3459,2321,985,748
RPRC008292,254,143,76,60
RPRC011457,1,4,0,0
RPRC014606,5,4,0,0
RPRC011355,152,173,30,17
RPRC004626,2024,1287,488,406
RPRC016285,0,0,0,0
RPRC004613,1323,824,521,413
RPRC004612,278,198,74,64
RPRC000411,192,140,98,59
RPRC004614,1395,853,634,414
RPRC016943,0,0,0,0
RPRC013271,11,9,0,2
RPRC011081,123,116,26,44
RPRC007882,0,0,0,0
RPRC006869,0,0,0,0
RPRC006011,19,9,5,1
RPRC006222,0,0,0,0
RPRC006184,794,544,402,273
RPRC006221,1,1,0,0
RPRC009114,0,0,0,0
RPRC014374,10,4,4,1
RPRC014378,6796,5340,1880,1329
RPRC000511,1045,866,375,265
RPRC010347,347,233,211,180
RPRC010346,3002,1823,686,510
RPRC010661,4,1,1,2
RPRC001806,21,21,11,3
RPRC010345,1506,1061,336,232
RPRC010351,683,584,362,220
RPRC010606,3618,2463,751,581
RPRC010656,172,196,68,112
RPRC001807,2380,1785,1122,732
RPRC010605,776,611,446,285
RPRC010344,2539,1810,1073,785
RPRC010604,573,441,175,113
RPRC010352,1775,1258,900,730
RPRC010594,2521,1757,1207,845
RPRC010592,442,260,407,224
RPRC010591,53,24,14,14
RPRC016152,0,1,0,0
RPRC010343,5599,3605,1669,1279
RPRC010549,29,8,8,5
RPRC010583,805,624,303,226
RPRC010443,2189,1557,1080,754
RPRC010394,2702,2072,1232,894
RPRC010441,123,119,61,65
RPRC010427,5,3,2,4
RPRC010340,885,726,1095,802
RPRC010439,14,5,2,5
RPRC010435,2986,1816,783,617
RPRC010429,1984,1503,653,459
RPRC010433,0,1,0,0
RPRC010430,103,65,108,85
RPRC007189,11,9,13,6
RPRC007188,117,86,136,92
RPRC007186,0,0,0,0
RPRC006757,43,34,3,2
RPRC007184,0,0,0,0
RPRC007182,2,0,0,0
RPRC007180,0,0,0,0
RPRC006759,5758,4523,3004,1655
RPRC006761,1365,934,653,464
RPRC006756,14850,11318,3173,2727
RPRC006755,1669,1163,462,378
RPRC006774,835,664,353,279
RPRC006780,724,603,369,289
RPRC007176,1531,888,540,375
RPRC006785,5126,3552,1725,1222
RPRC006886,1473,1194,1086,679
RPRC006754,1565,1078,768,528
RPRC006897,4929,3585,2024,1442
RPRC006918,6128,4544,2252,1743
RPRC007029,1730,1238,628,494
RPRC007030,3256,2532,1207,940
RPRC001808,5044,3350,3179,2359
RPRC006753,5231,3610,2505,1918
RPRC006752,239,249,35,31
RPRC007148,131,183,5,11
RPRC007067,61,65,8,11
RPRC006750,333,249,85,59
RPRC007147,2376,1884,1219,852
RPRC007068,1302,893,843,604
RPRC001809,2697,2109,1827,1352
RPRC001810,1372,903,402,319
RPRC006747,1527,1068,372,281
RPRC007137,800,641,246,251
RPRC007085,1767,1482,593,451
RPRC002123,1975,1410,1167,837
RPRC007129,1,0,0,0
RPRC017056,0,0,0,0
RPRC000367,1,0,0,0
RPRC000072,5,5,0,4
RPRC000014,58,25,14,9
RPRC007284,22,19,0,1
RPRC000706,442,247,469,316
RPRC011692,0,0,0,0
RPRC015336,8,1,1,0
RPRC015335,1649,1425,612,328
RPRC013726,0,0,0,0
RPRC001261,611,374,321,193
RPRC004271,783,517,278,198
RPRC004363,1482,1058,269,212
RPRC004270,3582,2727,837,620
RPRC004269,10257,6077,674,745
RPRC004272,16,15,6,1
RPRC004273,1732,1256,612,446
RPRC004362,1375,901,381,339
RPRC004277,426,334,200,99
RPRC004267,1078,769,609,373
RPRC004361,1657,1142,808,552
RPRC004266,8,0,0,1
RPRC004279,5285,3765,900,690
RPRC004360,473,412,66,46
RPRC004358,475,344,75,56
RPRC004265,0,0,0,0
RPRC004264,1,15,0,0
RPRC004354,1981,1372,692,527
RPRC004263,525,371,140,82
RPRC001262,677,501,262,190
RPRC004253,1063,794,753,550
RPRC004251,619,630,670,725
RPRC015939,0,0,0,0
RPRC001263,0,1,0,1
RPRC004353,0,1,0,0
RPRC002444,0,0,1,0
RPRC002443,851,537,424,351
RPRC002442,2288,1435,298,273
RPRC002441,759,889,132,568
RPRC000641,1576,908,383,308
RPRC011228,0,0,0,0
RPRC014570,0,0,0,0
RPRC011593,655,390,412,323
RPRC015338,613,475,315,260
RPRC012477,0,1,0,1
RPRC009648,2159,1456,1137,733
RPRC001230,351,251,218,178
RPRC009657,999,559,589,378
RPRC009647,2027,1413,423,374
RPRC009667,5789,4291,1661,1277
RPRC009645,4708,2932,1014,767
RPRC009738,15075,5822,12339,8234
RPRC009737,7179,5322,3205,2399
RPRC009644,1161,894,142,170
RPRC009731,6667,5117,4352,3416
RPRC009643,4150,2986,1399,995
RPRC009642,7845,6071,4011,2891
