gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC010489,1,0,0,0,0.05,0.00,0.00,0.00
RPRC010492,13,13,8,2,0.65,0.94,1.00,0.34
RPRC010490,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017223,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012806,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000702,1,4,2,1,0.05,0.29,0.25,0.17
RPRC009951,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009727,5,4,0,1,0.25,0.29,0.00,0.17
RPRC011561,83,77,49,28,4.13,5.58,6.13,4.76
RPRC011559,534,352,487,298,26.56,25.49,60.93,50.69
RPRC011558,2143,1377,764,542,106.59,99.70,95.59,92.20
RPRC011535,1323,909,661,482,65.81,65.81,82.71,81.99
RPRC011538,307,162,231,159,15.27,11.73,28.90,27.05
RPRC011556,66,44,88,35,3.28,3.19,11.01,5.95
RPRC011555,363,231,225,164,18.06,16.73,28.15,27.90
RPRC011553,272,138,53,92,13.53,9.99,6.63,15.65
RPRC011554,0,0,0,0,0.00,0.00,0.00,0.00
RPRC015150,2,1,0,0,0.10,0.07,0.00,0.00
RPRC015149,2292,1678,1725,1148,114.01,121.49,215.84,195.28
RPRC015148,587,400,386,250,29.20,28.96,48.30,42.53
RPRC015147,4504,2867,1145,860,224.03,207.58,143.27,146.29
RPRC015146,67,39,77,57,3.33,2.82,9.63,9.70
RPRC009282,609,388,210,172,30.29,28.09,26.28,29.26
RPRC009284,196,138,96,82,9.75,9.99,12.01,13.95
RPRC009381,2,1,0,1,0.10,0.07,0.00,0.17
RPRC002140,11,3,9,11,0.55,0.22,1.13,1.87
RPRC002139,6,15,2,3,0.30,1.09,0.25,0.51
RPRC009285,546,416,517,393,27.16,30.12,64.69,66.85
RPRC009329,651,466,461,294,32.38,33.74,57.68,50.01
RPRC009306,1168,759,966,546,58.10,54.95,120.87,92.88
RPRC015856,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009304,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009299,0,1,0,0,0.00,0.07,0.00,0.00
RPRC010451,3,3,0,0,0.15,0.22,0.00,0.00
RPRC010453,1,4,1,0,0.05,0.29,0.13,0.00
