gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC000788,427,426,243,350,21.24,30.84,30.40,59.54
RPRC000789,936,628,515,322,46.56,45.47,64.44,54.77
RPRC000791,1375,1224,532,392,68.39,88.62,66.57,66.68
RPRC000793,1655,1278,426,357,82.32,92.53,53.30,60.73
RPRC000795,201,149,100,65,10.00,10.79,12.51,11.06
RPRC000796,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002146,0,0,0,3,0.00,0.00,0.00,0.51
RPRC008431,2,1,0,3,0.10,0.07,0.00,0.51
RPRC004655,30,9,79,74,1.49,0.65,9.88,12.59
RPRC010181,0,2,0,0,0.00,0.14,0.00,0.00
RPRC010179,33,34,7,32,1.64,2.46,0.88,5.44
RPRC010183,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010182,2,0,1,0,0.10,0.00,0.13,0.00
RPRC012326,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003260,26,13,3,5,1.29,0.94,0.38,0.85
RPRC000414,17,6,3,1,0.85,0.43,0.38,0.17
RPRC013228,45,28,17,11,2.24,2.03,2.13,1.87
RPRC013227,1501,994,313,246,74.66,71.97,39.16,41.85
RPRC000217,3,2,0,0,0.15,0.14,0.00,0.00
RPRC000407,249,218,37,31,12.39,15.78,4.63,5.27
RPRC013226,54,49,5,11,2.69,3.55,0.63,1.87
RPRC000070,319,257,71,36,15.87,18.61,8.88,6.12
RPRC013229,107,53,41,21,5.32,3.84,5.13,3.57
RPRC000011,329,296,446,364,16.36,21.43,55.80,61.92
RPRC013517,171,130,212,107,8.51,9.41,26.53,18.20
RPRC013213,971,776,296,255,48.30,56.18,37.04,43.38
RPRC013230,1059,784,420,300,52.68,56.76,52.55,51.03
RPRC013512,22915,16311,4171,2875,1139.81,1180.97,521.89,489.05
RPRC013240,215,231,36,41,10.69,16.73,4.50,6.97
RPRC013211,424,343,37,100,21.09,24.83,4.63,17.01
RPRC013248,985,671,303,158,48.99,48.58,37.91,26.88
RPRC013452,585,445,622,333,29.10,32.22,77.83,56.65
RPRC013451,6388,3830,2546,1966,317.74,277.30,318.56,334.43
RPRC013249,4687,3480,2559,1887,233.13,251.96,320.19,320.99
RPRC013208,34,44,1,0,1.69,3.19,0.13,0.00
RPRC013182,2114,1626,835,589,105.15,117.73,104.48,100.19
RPRC013180,2652,1895,640,503,131.91,137.20,80.08,85.56
RPRC001417,1210,902,252,224,60.19,65.31,31.53,38.10
RPRC013178,703,613,423,325,34.97,44.38,52.93,55.28
RPRC013176,851,635,486,375,42.33,45.98,60.81,63.79
RPRC013290,614,500,456,330,30.54,36.20,57.06,56.13
RPRC013174,3325,2185,1068,864,165.39,158.20,133.63,146.97
RPRC013170,8931,6132,2945,2290,444.23,443.98,368.49,389.54
RPRC013169,14932,9643,1820,1782,742.73,698.18,227.72,303.13
RPRC001418,2425,1994,955,654,120.62,144.37,119.49,111.25
RPRC013291,550,410,103,64,27.36,29.69,12.89,10.89
RPRC013450,354,281,92,69,17.61,20.35,11.51,11.74
RPRC013167,21083,13332,2563,2812,1048.68,965.28,320.69,478.34
RPRC013163,28,17,6,6,1.39,1.23,0.75,1.02
RPRC013162,49,18,9,12,2.44,1.30,1.13,2.04
RPRC013449,1156,711,426,305,57.50,51.48,53.30,51.88
RPRC013159,2690,1881,863,658,133.80,136.19,107.98,111.93
RPRC013150,674,391,857,441,33.53,28.31,107.23,75.02
RPRC001419,46329,27122,45312,34613,2304.44,1963.72,5669.56,5887.85
RPRC013148,568,378,15,8,28.25,27.37,1.88,1.36
RPRC013146,37627,23189,2667,2923,1871.59,1678.96,333.70,497.22
RPRC013292,4044,2365,2183,1330,201.15,171.23,273.14,226.24
RPRC013143,1916,1276,875,711,95.30,92.39,109.48,120.94
RPRC013369,6040,5157,2385,1967,300.43,373.38,298.42,334.60
RPRC013425,293,122,220,132,14.57,8.83,27.53,22.45
RPRC013141,3660,2510,1569,971,182.05,181.73,196.32,165.17
RPRC013139,1004,631,294,211,49.94,45.69,36.79,35.89
RPRC013424,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013382,675,509,139,184,33.57,36.85,17.39,31.30
RPRC001420,4601,3765,1236,914,228.86,272.60,154.65,155.48
RPRC013412,1,0,2,0,0.05,0.00,0.25,0.00
RPRC013413,98,50,16,11,4.87,3.62,2.00,1.87
RPRC012125,14,11,2,1,0.70,0.80,0.25,0.17
RPRC012124,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012122,5,3,1,0,0.25,0.22,0.13,0.00
RPRC011977,1,0,0,0,0.05,0.00,0.00,0.00
RPRC011980,4687,3231,2099,1529,233.13,233.93,262.63,260.09
RPRC001421,4423,3522,1908,1321,220.00,255.00,238.73,224.71
RPRC012119,3977,2444,2263,1486,197.82,176.95,283.15,252.78
RPRC011976,122,66,64,25,6.07,4.78,8.01,4.25
RPRC012115,82,57,17,9,4.08,4.13,2.13,1.53
RPRC012016,318,257,29,25,15.82,18.61,3.63,4.25
RPRC012113,2180,1384,1202,872,108.43,100.21,150.40,148.33
RPRC012017,202,160,76,70,10.05,11.58,9.51,11.91
RPRC011972,5,1,1,0,0.25,0.07,0.13,0.00
RPRC001422,2355,1616,1985,1207,117.14,117.00,248.37,205.32
RPRC001423,2601,1658,1175,745,129.38,120.04,147.02,126.73
RPRC012103,1842,1338,1282,1019,91.62,96.88,160.41,173.34
RPRC012092,5337,3881,4347,2696,265.47,281.00,543.91,458.60
RPRC011970,808,676,177,118,40.19,48.94,22.15,20.07
RPRC011969,2070,1306,342,237,102.96,94.56,42.79,40.31
RPRC012018,1397,988,382,302,69.49,71.53,47.80,51.37
RPRC012091,2421,1669,1649,1073,120.42,120.84,206.33,182.52
RPRC011968,11440,7693,3017,2131,569.03,557.00,377.50,362.49
RPRC011965,3231,2435,835,661,160.71,176.30,104.48,112.44
RPRC012027,12255,8202,2809,2316,609.57,593.85,351.47,393.96
RPRC011964,2832,1830,503,397,140.87,132.50,62.94,67.53
RPRC012090,0,1,0,0,0.00,0.07,0.00,0.00
RPRC001424,46,30,5,5,2.29,2.17,0.63,0.85
RPRC001425,281,176,52,40,13.98,12.74,6.51,6.80
RPRC012089,0,0,0,0,0.00,0.00,0.00,0.00
RPRC001426,129,83,6,6,6.42,6.01,0.75,1.02
RPRC012044,1596,1033,693,414,79.39,74.79,86.71,70.42
RPRC011963,2672,1681,1050,818,132.91,121.71,131.38,139.15
RPRC011962,1721,1467,675,596,85.60,106.22,84.46,101.38
RPRC011961,2003,1428,1279,994,99.63,103.39,160.03,169.08
RPRC011960,2564,1811,936,695,127.54,131.12,117.11,118.22
RPRC011958,1673,1040,602,398,83.22,75.30,75.32,67.70
RPRC012081,1838,1320,777,564,91.42,95.57,97.22,95.94
RPRC012083,14,10,3,2,0.70,0.72,0.38,0.34
RPRC012084,21,20,8,3,1.04,1.45,1.00,0.51
RPRC012085,21,11,6,3,1.04,0.80,0.75,0.51
RPRC012086,2292,1500,740,537,114.01,108.60,92.59,91.35
RPRC001427,3270,1922,954,707,162.65,139.16,119.37,120.26
RPRC011956,2898,1943,2197,1399,144.15,140.68,274.89,237.98
RPRC011955,1013,674,322,208,50.39,48.80,40.29,35.38
RPRC011952,4905,3432,2087,1399,243.98,248.49,261.13,237.98
RPRC012088,4906,3299,1972,1406,244.03,238.86,246.74,239.17
RPRC012087,599,446,62,45,29.79,32.29,7.76,7.65
RPRC011951,2438,1841,986,743,121.27,133.29,123.37,126.39
RPRC009757,908,709,329,243,45.16,51.33,41.17,41.34
RPRC009712,117,110,22,46,5.82,7.96,2.75,7.82
RPRC016514,1,0,0,0,0.05,0.00,0.00,0.00
RPRC009743,21,17,7,9,1.04,1.23,0.88,1.53
RPRC009714,1500,955,1365,915,74.61,69.15,170.79,155.65
RPRC009763,66,39,17,37,3.28,2.82,2.13,6.29
RPRC009767,54,33,17,26,2.69,2.39,2.13,4.42
RPRC008531,34,51,8,26,1.69,3.69,1.00,4.42
RPRC006106,1,0,0,2,0.05,0.00,0.00,0.34
RPRC006096,16,4,34,55,0.80,0.29,4.25,9.36
RPRC006093,110,45,295,307,5.47,3.26,36.91,52.22
RPRC006105,155,80,621,682,7.71,5.79,77.70,116.01
RPRC006104,20,37,21,5,0.99,2.68,2.63,0.85
RPRC006098,393,600,273,52,19.55,43.44,34.16,8.85
RPRC006097,226,201,115,32,11.24,14.55,14.39,5.44
RPRC001013,380,233,348,199,18.90,16.87,43.54,33.85
RPRC001014,217,127,249,97,10.79,9.20,31.16,16.50
RPRC012901,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003927,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006164,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013396,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014729,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003011,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013929,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012872,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013944,18,6,1,0,0.90,0.43,0.13,0.00
RPRC000837,10,4,4,1,0.50,0.29,0.50,0.17
RPRC004391,3426,2245,898,573,170.41,162.55,112.36,97.47
RPRC004393,0,0,0,0,0.00,0.00,0.00,0.00
RPRC005223,0,1,0,0,0.00,0.07,0.00,0.00
RPRC005118,7,8,1,1,0.35,0.58,0.13,0.17
RPRC005222,769,528,170,211,38.25,38.23,21.27,35.89
RPRC005220,363,119,117,81,18.06,8.62,14.64,13.78
RPRC005117,841,562,337,233,41.83,40.69,42.17,39.63
RPRC005120,4141,3128,1020,654,205.98,226.48,127.63,111.25
RPRC005215,0,1,0,0,0.00,0.07,0.00,0.00
RPRC005214,739,504,292,225,36.76,36.49,36.54,38.27
RPRC001926,1696,1193,1225,895,84.36,86.38,153.28,152.24
RPRC005213,659,497,446,356,32.78,35.98,55.80,60.56
RPRC005102,2318,1644,1127,794,115.30,119.03,141.01,135.06
RPRC005212,1336,819,499,346,66.45,59.30,62.44,58.86
RPRC005172,1285,880,455,377,63.92,63.71,56.93,64.13
RPRC005174,18648,12753,8163,5576,927.56,923.36,1021.38,948.51
RPRC003374,1267,843,758,519,63.02,61.04,94.84,88.28
RPRC003389,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003388,21,7,9,8,1.04,0.51,1.13,1.36
RPRC001927,94,51,29,31,4.68,3.69,3.63,5.27
RPRC003387,1102,693,240,189,54.81,50.18,30.03,32.15
RPRC003375,1737,1105,909,780,86.40,80.01,113.74,132.68
RPRC003373,4049,2858,2217,1632,201.40,206.93,277.40,277.61
RPRC003372,566,391,456,240,28.15,28.31,57.06,40.83
RPRC003371,145,117,48,33,7.21,8.47,6.01,5.61
RPRC003376,3604,2433,1302,877,179.27,176.16,162.91,149.18
RPRC003384,1256,826,418,277,62.47,59.81,52.30,47.12
RPRC000574,110,52,101,78,5.47,3.76,12.64,13.27
RPRC003386,2166,1418,1069,629,107.74,102.67,133.76,107.00
RPRC003385,5,0,2,0,0.25,0.00,0.25,0.00
RPRC017411,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012071,1,0,1,0,0.05,0.00,0.13,0.00
RPRC000854,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012631,0,0,0,0,0.00,0.00,0.00,0.00
RPRC001058,141,100,121,124,7.01,7.24,15.14,21.09
RPRC017161,2915,2067,1072,752,144.99,149.66,134.13,127.92
RPRC010046,67,49,15,16,3.33,3.55,1.88,2.72
RPRC010929,0,0,0,0,0.00,0.00,0.00,0.00
RPRC016848,0,0,0,0,0.00,0.00,0.00,0.00
RPRC016241,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003145,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003144,394,391,30,36,19.60,28.31,3.75,6.12
RPRC003141,215,220,29,25,10.69,15.93,3.63,4.25
RPRC011290,3180,2112,810,629,158.18,152.92,101.35,107.00
RPRC003404,223,149,464,251,11.09,10.79,58.06,42.70
RPRC014066,861,567,362,272,42.83,41.05,45.29,46.27
RPRC014064,2939,1971,1065,740,146.19,142.71,133.26,125.88
RPRC014076,486,343,377,259,24.17,24.83,47.17,44.06
RPRC014052,446,300,241,189,22.18,21.72,30.15,32.15
RPRC002249,76,48,10,2,3.78,3.48,1.25,0.34
RPRC007351,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010571,0,0,1,0,0.00,0.00,0.13,0.00
RPRC007788,6,3,6,3,0.30,0.22,0.75,0.51
RPRC001790,235,178,172,134,11.69,12.89,21.52,22.79
RPRC007787,75,57,65,41,3.73,4.13,8.13,6.97
RPRC007786,3590,2481,1197,837,178.57,179.63,149.77,142.38
RPRC007686,6642,4700,2209,1636,330.38,340.29,276.40,278.29
RPRC007684,35722,24325,5681,4690,1776.84,1761.21,710.82,797.79
RPRC007683,4392,3302,2019,1440,218.46,239.08,252.62,244.95
RPRC002121,524,240,34,30,26.06,17.38,4.25,5.10
RPRC007778,132,55,200,315,6.57,3.98,25.02,53.58
RPRC000195,270,132,3,3,13.43,9.56,0.38,0.51
RPRC007771,17,18,2,0,0.85,1.30,0.25,0.00
RPRC000608,38,24,16,12,1.89,1.74,2.00,2.04
RPRC007723,472,170,230,123,23.48,12.31,28.78,20.92
RPRC007769,0,0,0,0,0.00,0.00,0.00,0.00
RPRC007766,70,50,80,43,3.48,3.62,10.01,7.31
RPRC007740,1100,979,1450,1290,54.71,70.88,181.43,219.44
RPRC007682,817,602,661,476,40.64,43.59,82.71,80.97
RPRC000048,247,193,52,40,12.29,13.97,6.51,6.80
RPRC004683,67,38,26,5,3.33,2.75,3.25,0.85
RPRC004734,2,0,3,6,0.10,0.00,0.38,1.02
RPRC004761,401,297,73,60,19.95,21.50,9.13,10.21
RPRC004753,66,31,23,17,3.28,2.24,2.88,2.89
RPRC004735,237,133,111,70,11.79,9.63,13.89,11.91
RPRC004751,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004749,34,27,4,10,1.69,1.95,0.50,1.70
RPRC004748,25,15,9,4,1.24,1.09,1.13,0.68
RPRC011563,111,60,5,4,5.52,4.34,0.63,0.68
RPRC011446,248,159,36,39,12.34,11.51,4.50,6.63
RPRC001791,65,59,89,88,3.23,4.27,11.14,14.97
RPRC011459,572,358,192,118,28.45,25.92,24.02,20.07
RPRC001792,7,4,3,1,0.35,0.29,0.38,0.17
RPRC001793,2301,1525,324,285,114.45,110.41,40.54,48.48
RPRC011445,1254,935,506,338,62.37,67.70,63.31,57.50
RPRC011442,31717,22822,4703,3577,1577.63,1652.38,588.45,608.47
RPRC001794,955,681,702,508,47.50,49.31,87.84,86.41
RPRC011560,65105,3763,652,183,3238.37,272.45,81.58,31.13
RPRC001795,15,5,2,0,0.75,0.36,0.25,0.00
RPRC011462,109,64,17,10,5.42,4.63,2.13,1.70
RPRC001796,246,167,197,99,12.24,12.09,24.65,16.84
RPRC008759,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000429,2,0,0,0,0.10,0.00,0.00,0.00
RPRC008677,1009,742,1045,724,50.19,53.72,130.75,123.16
RPRC008758,142,113,102,67,7.06,8.18,12.76,11.40
RPRC008685,495,393,270,165,24.62,28.45,33.78,28.07
RPRC008757,568,468,305,179,28.25,33.88,38.16,30.45
RPRC008686,17,13,8,5,0.85,0.94,1.00,0.85
RPRC008682,20,13,10,5,0.99,0.94,1.25,0.85
RPRC008687,1530,925,695,338,76.10,66.97,86.96,57.50
RPRC008688,341,191,307,234,16.96,13.83,38.41,39.80
RPRC008689,626,296,155,91,31.14,21.43,19.39,15.48
RPRC008672,373,235,106,82,18.55,17.01,13.26,13.95
RPRC001364,2,2,0,1,0.10,0.14,0.00,0.17
RPRC008756,0,0,1,0,0.00,0.00,0.13,0.00
RPRC008750,235,177,85,16,11.69,12.82,10.64,2.72
RPRC008698,1140,878,7864,5214,56.70,63.57,983.97,886.93
RPRC008734,86,61,23,13,4.28,4.42,2.88,2.21
RPRC008748,49,38,7,5,2.44,2.75,0.88,0.85
RPRC001365,30,44,8,20,1.49,3.19,1.00,3.40
RPRC013085,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013086,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013309,61,25,0,0,3.03,1.81,0.00,0.00
RPRC001366,10,10,4,7,0.50,0.72,0.50,1.19
RPRC013080,1921,1128,643,500,95.55,81.67,80.45,85.05
RPRC013087,706,477,152,99,35.12,34.54,19.02,16.84
RPRC013282,3684,2712,1140,949,183.24,196.36,142.64,161.43
RPRC013079,157,153,7,19,7.81,11.08,0.88,3.23
RPRC013077,21307,13010,2177,2234,1059.82,941.97,272.39,380.02
RPRC001367,3511,3412,970,763,174.64,247.04,121.37,129.79
RPRC013076,1379,807,502,260,68.59,58.43,62.81,44.23
RPRC013089,5029,3001,1120,886,250.15,217.28,140.14,150.71
RPRC001369,141,80,127,83,7.01,5.79,15.89,14.12
RPRC013279,2491,1690,1786,1103,123.90,122.36,223.47,187.63
RPRC013276,779,517,482,241,38.75,37.43,60.31,41.00
RPRC013274,33,12,6,6,1.64,0.87,0.75,1.02
RPRC003492,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013725,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004901,1,1,1,0,0.05,0.07,0.13,0.00
RPRC004902,6,4,6,1,0.30,0.29,0.75,0.17
RPRC014455,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017430,0,0,0,0,0.00,0.00,0.00,0.00
RPRC005418,3,1,0,0,0.15,0.07,0.00,0.00
RPRC012606,597,351,427,291,29.70,25.41,53.43,49.50
RPRC002172,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004888,840,599,476,338,41.78,43.37,59.56,57.50
RPRC004897,53,32,5,4,2.64,2.32,0.63,0.68
RPRC001486,889,629,160,132,44.22,45.54,20.02,22.45
RPRC004913,3,4,0,0,0.15,0.29,0.00,0.00
RPRC004912,0,0,0,0,0.00,0.00,0.00,0.00
RPRC015738,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004911,15,0,20,68,0.75,0.00,2.50,11.57
RPRC004910,0,0,0,2,0.00,0.00,0.00,0.34
RPRC004909,8,0,3,15,0.40,0.00,0.38,2.55
RPRC004908,24,8,2,7,1.19,0.58,0.25,1.19
RPRC004905,184,82,85,55,9.15,5.94,10.64,9.36
RPRC004907,30,13,8,3,1.49,0.94,1.00,0.51
RPRC003336,12379,9521,3486,2606,615.74,689.35,436.18,443.29
RPRC003335,2113,1635,805,553,105.10,118.38,100.72,94.07
RPRC000782,820,529,372,257,40.79,38.30,46.55,43.72
RPRC003333,730,524,445,264,36.31,37.94,55.68,44.91
RPRC006985,12,5,1,0,0.60,0.36,0.13,0.00
RPRC010011,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011667,6,4,5,2,0.30,0.29,0.63,0.34
RPRC005904,277,233,67,42,13.78,16.87,8.38,7.14
RPRC005782,1623,1158,753,538,80.73,83.84,94.22,91.52
RPRC000992,939,725,728,486,46.71,52.49,91.09,82.67
RPRC005781,2484,2397,1023,778,123.56,173.55,128.00,132.34
RPRC005779,1954,1508,904,543,97.19,109.18,113.11,92.37
RPRC005903,615,509,352,192,30.59,36.85,44.04,32.66
RPRC005783,1090,837,168,117,54.22,60.60,21.02,19.90
RPRC005784,588,449,128,97,29.25,32.51,16.02,16.50
RPRC016673,0,0,0,0,0.00,0.00,0.00,0.00
RPRC005902,3,1,0,1,0.15,0.07,0.00,0.17
RPRC000993,3180,2477,1294,1004,158.18,179.34,161.91,170.79
RPRC005778,10349,8964,4748,3572,514.77,649.02,594.08,607.62
RPRC005785,1809,1328,985,673,89.98,96.15,123.25,114.48
RPRC005793,77,34,11,7,3.83,2.46,1.38,1.19
RPRC005794,501,371,364,240,24.92,26.86,45.54,40.83
RPRC005795,4056,3078,1589,1170,201.75,222.86,198.82,199.02
RPRC005900,1411,1128,745,524,70.18,81.67,93.22,89.14
RPRC000994,427,220,258,195,21.24,15.93,32.28,33.17
RPRC005796,1631,1216,279,244,81.13,88.04,34.91,41.51
RPRC005812,2904,2275,1739,1335,144.45,164.72,217.59,227.09
RPRC005860,1256,840,1029,641,62.47,60.82,128.75,109.04
RPRC005777,2267,1548,412,327,112.76,112.08,51.55,55.62
RPRC005885,2328,1516,905,688,115.80,109.76,113.24,117.03
RPRC005890,1955,1507,717,521,97.24,109.11,89.71,88.62
RPRC005898,917,650,274,200,45.61,47.06,34.28,34.02
RPRC005896,797,649,318,202,39.64,46.99,39.79,34.36
RPRC005895,4149,2520,906,696,206.37,182.46,113.36,118.39
RPRC005894,345,255,220,151,17.16,18.46,27.53,25.69
RPRC014669,772,482,379,252,38.40,34.90,47.42,42.87
RPRC014654,5296,3703,1154,972,263.43,268.11,144.39,165.34
RPRC014666,570,336,528,315,28.35,24.33,66.06,53.58
RPRC014657,2090,1354,624,586,103.96,98.03,78.08,99.68
RPRC014659,1614,1157,439,281,80.28,83.77,54.93,47.80
RPRC001148,601,390,150,79,29.89,28.24,18.77,13.44
RPRC014665,498,321,283,197,24.77,23.24,35.41,33.51
RPRC014662,1171,828,677,465,58.25,59.95,84.71,79.10
RPRC013978,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004406,0,0,0,0,0.00,0.00,0.00,0.00
RPRC001182,29,24,3,3,1.44,1.74,0.38,0.51
RPRC004405,207,172,7,4,10.30,12.45,0.88,0.68
RPRC004403,0,0,0,2,0.00,0.00,0.00,0.34
RPRC004400,9832,6947,2876,1807,489.05,502.98,359.85,307.38
RPRC004395,7464,5231,1417,1270,371.26,378.74,177.30,216.03
RPRC012555,3573,2391,1432,1049,177.72,173.12,179.18,178.44
RPRC012597,1279,754,550,335,63.62,54.59,68.82,56.99
RPRC000664,175,14,2,1,8.70,1.01,0.25,0.17
RPRC000665,106,182,291,360,5.27,13.18,36.41,61.24
RPRC012588,594,644,167,233,29.55,46.63,20.90,39.63
RPRC012556,4596,3714,2239,1401,228.61,268.91,280.15,238.32
RPRC000618,160,294,12,26,7.96,21.29,1.50,4.42
RPRC000666,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000532,1399,969,589,452,69.59,70.16,73.70,76.89
RPRC015394,470,284,264,204,23.38,20.56,33.03,34.70
RPRC000567,24,27,2,2,1.19,1.95,0.25,0.34
RPRC000357,507,441,192,147,25.22,31.93,24.02,25.01
RPRC015395,244,147,21,9,12.14,10.64,2.63,1.53
RPRC015417,2997,2178,2284,1535,149.07,157.69,285.78,261.11
RPRC015396,2423,1682,1754,1344,120.52,121.78,219.47,228.62
RPRC015393,2246,1514,1008,778,111.72,109.62,126.12,132.34
RPRC015397,180,148,63,64,8.95,10.72,7.88,10.89
RPRC001704,985,657,373,221,48.99,47.57,46.67,37.59
RPRC015398,9239,5728,3269,2579,459.55,414.73,409.03,438.70
RPRC015392,2665,1768,1089,910,132.56,128.01,136.26,154.80
RPRC015416,23,26,7,2,1.14,1.88,0.88,0.34
RPRC015391,2964,1863,1111,796,147.43,134.89,139.01,135.40
RPRC002117,5543,4069,3193,2101,275.71,294.61,399.52,357.39
RPRC015390,2441,1648,792,634,121.42,119.32,99.10,107.85
RPRC015399,2677,1776,2176,1329,133.16,128.59,272.27,226.07
RPRC001705,800,551,813,445,39.79,39.89,101.72,75.70
RPRC015400,627,539,302,266,31.19,39.03,37.79,45.25
RPRC015389,4926,3856,3088,1869,245.02,279.19,386.38,317.93
RPRC015388,222,105,17,29,11.04,7.60,2.13,4.93
RPRC015401,3674,2872,904,715,182.75,207.94,113.11,121.63
RPRC015402,5467,3860,2466,1884,271.93,279.48,308.55,320.48
RPRC015403,4347,3209,1507,1220,216.22,232.34,188.56,207.53
RPRC015415,447,354,98,177,22.23,25.63,12.26,30.11
RPRC001706,705,618,125,108,35.07,44.75,15.64,18.37
RPRC015414,125,98,31,32,6.22,7.10,3.88,5.44
RPRC015413,42,32,7,7,2.09,2.32,0.88,1.19
RPRC015412,1500,1012,749,482,74.61,73.27,93.72,81.99
RPRC001707,584,448,183,141,29.05,32.44,22.90,23.98
RPRC015411,564,441,150,116,28.05,31.93,18.77,19.73
RPRC015404,467,392,10,17,23.23,28.38,1.25,2.89
RPRC015387,7,7,2,0,0.35,0.51,0.25,0.00
RPRC015386,1587,1165,604,508,78.94,84.35,75.57,86.41
RPRC015410,1947,1326,762,500,96.85,96.01,95.34,85.05
RPRC015385,7703,5994,1749,1360,383.15,433.98,218.84,231.34
RPRC015405,2860,2093,1228,784,142.26,151.54,153.65,133.36
RPRC015409,2097,1458,833,520,104.31,105.56,104.23,88.45
RPRC015384,2105,1597,670,464,104.70,115.63,83.83,78.93
RPRC015408,5,0,2,2,0.25,0.00,0.25,0.34
RPRC015383,87,49,32,22,4.33,3.55,4.00,3.74
RPRC003004,255,189,120,67,12.68,13.68,15.01,11.40
RPRC003024,606,449,98,77,30.14,32.51,12.26,13.10
RPRC000319,4,7,0,1,0.20,0.51,0.00,0.17
RPRC003005,520,390,124,58,25.87,28.24,15.52,9.87
RPRC003021,17,3,0,0,0.85,0.22,0.00,0.00
RPRC003001,38,23,5,3,1.89,1.67,0.63,0.51
RPRC003010,3201,2342,1246,811,159.22,169.57,155.90,137.96
RPRC003019,254,171,81,41,12.63,12.38,10.13,6.97
RPRC017151,36,33,14,16,1.79,2.39,1.75,2.72
RPRC003018,158,141,45,45,7.86,10.21,5.63,7.65
RPRC003017,3225,2199,903,754,160.41,159.21,112.99,128.26
RPRC003014,1247,855,214,164,62.03,61.90,26.78,27.90
RPRC003016,0,2,4,0,0.00,0.14,0.50,0.00
RPRC015170,37,26,8,6,1.84,1.88,1.00,1.02
RPRC015169,21,28,4,1,1.04,2.03,0.50,0.17
RPRC015154,1,3,0,0,0.05,0.22,0.00,0.00
RPRC015168,8,14,0,0,0.40,1.01,0.00,0.00
RPRC015167,1,0,1,0,0.05,0.00,0.13,0.00
RPRC015166,1119,791,689,534,55.66,57.27,86.21,90.84
RPRC015165,0,0,0,0,0.00,0.00,0.00,0.00
RPRC015164,0,0,0,0,0.00,0.00,0.00,0.00
RPRC015153,3,11,0,3,0.15,0.80,0.00,0.51
RPRC015155,0,7,0,2,0.00,0.51,0.00,0.34
RPRC015163,570,485,406,313,28.35,35.12,50.80,53.24
RPRC015156,2665,1751,1426,890,132.56,126.78,178.43,151.39
RPRC015162,2,6,1,1,0.10,0.43,0.13,0.17
RPRC001708,327,244,256,179,16.27,17.67,32.03,30.45
RPRC001709,281,193,280,208,13.98,13.97,35.03,35.38
RPRC015157,1556,1523,560,474,77.40,110.27,70.07,80.63
RPRC001710,1193,838,659,497,59.34,60.67,82.46,84.54
RPRC001711,719,512,366,169,35.76,37.07,45.79,28.75
RPRC015158,33,14,1,0,1.64,1.01,0.13,0.00
RPRC015159,4767,3987,2250,1602,237.11,288.67,281.53,272.51
RPRC015161,0,3,0,0,0.00,0.22,0.00,0.00
RPRC015160,2,2,0,0,0.10,0.14,0.00,0.00
RPRC015618,2,0,1,0,0.10,0.00,0.13,0.00
RPRC009080,0,0,0,0,0.00,0.00,0.00,0.00
RPRC016331,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009078,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009077,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002996,30,12,11,2,1.49,0.87,1.38,0.34
RPRC004925,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011748,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004052,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003904,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006969,0,0,0,0,0.00,0.00,0.00,0.00
